Company,FileNo,Opened,Closed,Coverage,SubCoverage,Reason,SubReason,Disposition,Conclusion,Recovery,Status
"Oxford Health Plans (CT), Inc",2681,06/23/2020,07/07/2020,Group Health,No SubCov - AH,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Furnished Information,0.00,Closed
ConnectiCare Inc,902277,05/20/2019,07/05/2019,Group Health,No SubCov - AH,Unfair Claims Practice,Denial of Claim,Claim Paid With Interest,Justified,1986.09,Closed
ConnectiCare Inc,2471,06/08/2020,07/31/2020,,,Utilization Review,Medical Necessity,External Review Info Sent,Furnished Information,0.00,Closed
Central Mutual Insurance Company,905037,11/07/2019,11/25/2019,,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
GEICO General Insurance Company,764,02/20/2020,03/13/2020,,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
General Insurance Company of America,100086,01/07/2021,01/22/2021,Homeowners,,Unfair Claims Practice,Claim Delays,Corrective Action,Justified,0.00,Closed
Plymouth Rock Home Assurance Corporation,803282,07/18/2018,07/25/2018,Homeowners,,Unfair Claims Practice,Unsatisfactory Settlement,Complaint Withdrawn,No Action Necessary,0.00,Closed
Permanent General Assurance Corporation,1769,04/16/2020,04/28/2020,,,Unfair Claims Practice,Denial of Claim,Refer-Judicial/Attorney,Unjustified,0.00,Closed
Progressive Casualty Insurance Company,2104,05/11/2020,05/29/2020,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
Connecticut General Life Insurance Company,902855,06/27/2019,07/19/2019,Group Life,Term Life,Unfair Claims Practice,Carrier Never Rec'd Claim,Furnished Information,Furnished Information,0.00,Closed
Liberty Insurance Corporation,3912,09/17/2020,10/13/2020,Auto,,Premium and Rating,Premium/Notice,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",905459,12/09/2019,12/30/2019,A & H,Out-Patient,Unfair Claims Practice,Unsatisfactory Settlement,Furnished Information,Furnished Information,0.00,Closed
Underwriters at Lloyds London,936,02/27/2020,03/23/2020,General Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Justified,0.00,Closed
Jackson National Life Insurance Company,101384,03/29/2021,04/19/2021,Individual Life,Term Life,Premium and Rating,Premium Refund Delay,Company Position Upheld,Unjustified,0.00,Closed
Federal Insurance Company,905175,11/18/2019,12/12/2019,Limited Benefit Health,No SubCov - AH,Marketing/Sales,Misrepresentation,Furnished Information,Furnished Information,0.00,Closed
"Foremost Insurance Company Grand Rapids, Michigan",100214,01/14/2021,01/29/2021,Auto Liability,,Unfair Claims Practice,Claim Delays,Corrective Action,Unjustified,0.00,Closed
Prudential Insurance Company of America,4415,10/21/2020,11/19/2020,Individual Life,Other,Unfair Claims Practice,Claim Procedure,Corrective Action,Justified,0.00,Closed
Lafayette Life Insurance Company,2916,07/10/2020,07/29/2020,Individual Life,Universal Life,Premium and Rating,Premium/Rate Increase,Contract Provision,Unjustified,0.00,Closed
Federal Insurance Company,1775,04/17/2020,05/06/2020,Auto Uninsured Motorist,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Voya Retirement Insurance and Annuity Company,345,01/23/2020,02/06/2020,,,Marketing/Sales,No Coverage/Premium Paid,Company Position Upheld,Unjustified,0.00,Closed
State Farm Mutual Automobile Insurance Company,485,02/03/2020,03/04/2020,Auto Physical Damage,,Unfair Claims Practice,Unsatisfactory Offer,Corrective Action,Justified,244.61,Closed
ACE American Insurance Company,904865,10/29/2019,11/18/2019,A & H,No SubCov - AH,Unfair Claims Practice,Denial of Claim,Claim Settled,Justified,0.00,Closed
"Technology Insurance Company, Inc.",905384,12/04/2019,12/19/2019,Worker's Compensation,,Premium and Rating,Audit,Contract Provision,Unjustified,0.00,Closed
Nationwide Insurance Company of America,3555,08/25/2020,10/06/2020,Auto Physical Damage,,Underwriting,Cancellation,Cancellation Withdrawn,Justified,0.00,Closed
American Commerce Insurance Company,903174,07/19/2019,08/12/2019,Auto,,Underwriting,Non-Renewal,Non-Renewal Upheld,Unjustified,0.00,Closed
Allianz Life Insurance Company of North America,903443,08/01/2019,08/23/2019,Group Annuity,Fixed Annuity,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
UNUM Life Insurance Company of America,4656,11/05/2020,11/09/2020,,,Marketing/Sales,Policy Service,Company Position Upheld,Furnished Information,0.00,Closed
RiverSource Life Insurance Company,4155,10/05/2020,10/28/2020,Individual Long Term Care,Long Term Individual,Unfair Claims Practice,Denial of Claim,Furnished Information,Furnished Information,0.00,Closed
Citizens Insurance Company of America,2207,05/18/2020,06/08/2020,Commercial Multi-Peril,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
United Services Automobile Association,904168,09/17/2019,10/28/2019,Auto Liability,,Unfair Claims Practice,Actual Cash Value Dispute,Company Position Upheld,Unjustified,0.00,Closed
Prudential Insurance Company of America,903491,08/05/2019,08/19/2019,Individual Long Term Care,No SubCov - AH,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Furnished Information,0.00,Closed
Athene Annuity & Life Assurance Company,4462,10/26/2020,11/25/2020,Life and Annuity,Fixed Annuity,Unfair Claims Practice,Claim Procedure,Claim Settled,Unjustified,0.00,Closed
Equitable Financial Life Insurance Company,805349,11/14/2018,12/12/2018,Group Life,Term Life,Unfair Claims Practice,Claim Procedure,Furnished Information,Unjustified,0.00,Closed
Cigna Health and Life Insurance Company,3148,07/28/2020,08/12/2020,Dental,Dental,Unfair Claims Practice,Eligibility of Provider,Company Position Upheld,Furnished Information,0.00,Closed
John Hancock Life Insurance Company (USA),100969,03/03/2021,03/18/2021,Individual Long Term Care,Long Term Individual,Marketing/Sales,Policy Service,Furnished Information,Justified,0.00,Closed
Ohio Mutual Insurance Company,482,02/03/2020,02/18/2020,,,Unfair Claims Practice,Claim Delays,Corrective Action,Justified,3400.00,Closed
Transamerica Life Insurance Company,903689,08/15/2019,11/13/2019,Individual Long Term Care,No SubCov - AH,Unfair Claims Practice,Claim Delays,Claim Settled,Furnished Information,4800.00,Closed
Standard Fire Insurance Company (The),3418,08/17/2020,09/02/2020,Auto Liability,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Aetna Health and Life Insurance Company,690,02/13/2020,03/02/2020,,,Unfair Claims Practice,Claim Delays,Claim Settled,Furnished Information,0.00,Closed
Transamerica Life Insurance Company,100075,01/07/2021,02/04/2021,Individual Long Term Care,Long Term Individual,Premium and Rating,Premium/Rate Increase,Furnished Information,Voluntary Reconsider,0.00,Closed
UnitedHealthcare Insurance Company,100813,02/22/2021,03/18/2021,Group Health,Prescription,Utilization Review,UR Procedure,External Review Info Sent,Furnished Information,0.00,Closed
Cigna Health and Life Insurance Company,438,01/29/2020,02/13/2020,Dental,Dental,Unfair Claims Practice,Claim Delays,Claim Settled,Furnished Information,7190.63,Closed
LM General Insurance Company,905354,11/29/2019,12/24/2019,,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Bankers Life and Casualty Company,363,01/24/2020,03/02/2020,Medicare Advantage,No SubCov - AH,Marketing/Sales,Carrier Never Rec'd Appl,Furnished Information,Furnished Information,0.00,Closed
Integon National Insurance Company,100973,03/03/2021,03/23/2021,Auto Medical Payment,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
Mapfre Insurance Company,902931,07/05/2019,07/15/2019,Auto Liability,,Unfair Claims Practice,Denial of Claim,Complaint Withdrawn,No Action Necessary,0.00,Closed
Property and Casualty Insurance Company of Hartford,904516,10/07/2019,10/28/2019,Auto,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
Government Employees Insurance Company,902898,07/01/2019,07/29/2019,Auto,,Marketing/Sales,Producer Handling,Company Position Upheld,Unjustified,0.00,Closed
"Oxford Health Plans (CT), Inc",902890,07/01/2019,07/26/2019,Group Health,No SubCov - AH,Unfair Claims Practice,Contract Provision,Corrective Action,Justified,411.82,Closed
John Hancock Life Insurance Company (USA),101045,03/09/2021,03/22/2021,Individual Life,Whole Life,Marketing/Sales,Policy Service Delay,Corrective Action,Unjustified,0.00,Closed
USAA Casualty Insurance Company,100642,02/10/2021,02/23/2021,Auto Liability,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
Allstate Insurance Company,903997,09/05/2019,09/30/2019,,,Marketing/Sales,No Coverage/Premium Paid,Company Position Upheld,Unjustified,0.00,Closed
National General Assurance Company,100450,01/28/2021,02/24/2021,,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Standard Fire Insurance Company (The),902319,05/21/2019,11/07/2019,Auto Liability,,Unfair Claims Practice,Claim Procedure,Claim Settled,Unjustified,0.00,Closed
UnitedHealthcare Insurance Company,4087,10/01/2020,10/19/2020,,,Unfair Claims Practice,Claim Procedure,Furnished Information,Furnished Information,0.00,Closed
Allied Property and Casualty Insurance Company,905309,11/26/2019,12/19/2019,,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
John Hancock Life & Health Insurance Company,2620,06/18/2020,07/13/2020,Individual Long Term Care,No SubCov - AH,Premium and Rating,Premium/Rate Increase,Furnished Information,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",904543,10/08/2019,12/16/2019,Group Health,Physical Therapy,Unfair Claims Practice,Denial of Claim,Claim Paid With Interest,Justified,82.00,Closed
"Anthem Health Plans, Inc",1459,03/30/2020,04/03/2020,A & H,COVID-19,Unfair Claims Practice,Provider Contract Issue,Satisfied,Furnished Information,0.00,Closed
Century-National Insurance Company,483,02/03/2020,02/27/2020,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
Plymouth Rock Home Assurance Corporation,2604,06/17/2020,07/13/2020,Homeowners,,Unfair Claims Practice,Denial of Claim,Corrective Action,Justified,12551.23,Closed
Progressive Direct Insurance Company,3475,08/20/2020,09/11/2020,Auto Physical Damage,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
GEICO General Insurance Company,3185,07/30/2020,08/12/2020,Auto,,Premium and Rating,Other [Enter Sub-Reason],Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",903395,07/30/2019,08/05/2019,Ind Medicare Supplemental,No SubCov - AH,Marketing/Sales,Producer Handling,Furnished Information,Furnished Information,0.00,Closed
CSAA Affinity Insurance Company,2025,05/04/2020,06/09/2020,Auto Liability,,Unfair Claims Practice,Unsatisfactory Offer,Company Position Upheld,Unjustified,0.00,Closed
United Services Automobile Association,1016,03/05/2020,03/23/2020,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
Cigna Health and Life Insurance Company,904963,11/04/2019,11/14/2019,Dental,Dental,Unfair Claims Practice,Unsatisfactory Settlement,Claim Settled,Justified,695.00,Closed
GEICO General Insurance Company,647,02/10/2020,03/18/2020,Auto Physical Damage,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
"Oxford Health Plans (CT), Inc",903591,08/09/2019,08/19/2019,,,Unfair Claims Practice,Denial of Claim,Contract Provision,Furnished Information,0.00,Closed
Genworth Life Insurance Company,903497,08/05/2019,08/06/2019,Individual Long Term Care,No SubCov - AH,Unfair Claims Practice,Other [Enter Sub-Reason],Furnished Information,Furnished Information,0.00,Closed
Allstate Insurance Company,5069,12/04/2020,01/05/2021,Homeowners,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Infinity Standard Insurance Company,1884,04/24/2020,05/12/2020,,,Unfair Claims Practice,Claim Delays,Corrective Action,Justified,0.00,Closed
Metropolitan Life Insurance Company,3055,07/22/2020,08/07/2020,Dental,Dental,Unfair Claims Practice,Coordination of Benefit,Company Position Upheld,Furnished Information,0.00,Closed
USAA Casualty Insurance Company,2492,06/09/2020,06/22/2020,Auto Medical Payment,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
American Security Insurance Company,4746,11/12/2020,11/27/2020,,,Unfair Claims Practice,Claim Delays,Corrective Action,Justified,300000.00,Closed
Aetna Life Insurance Company,448,01/30/2020,03/10/2020,Group Health,Breast MRI/Ultrasound,Unfair Claims Practice,Unsatisfactory Settlement,Contract Provision,Furnished Information,0.00,Closed
Integon National Insurance Company,4532,10/28/2020,11/16/2020,Homeowners,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Amica Mutual Insurance Company,3415,08/17/2020,09/25/2020,Homeowners,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Markel American Insurance Company,100113,01/08/2021,01/27/2021,,,Underwriting,Cancellation,Cancellation Withdrawn,Justified,0.00,Closed
Vermont Mutual Insurance Company,825,02/24/2020,03/19/2020,Condo Association,,Underwriting,Cancellation,Cancellation Upheld,Unjustified,0.00,Closed
Travelers Indemnity Company of America (The),5082,12/07/2020,12/22/2020,Homeowners,,Unfair Claims Practice,Unsatisfactory Settlement,Refer To Appraisal,Unjustified,0.00,Closed
"ConnectiCare Insurance Company, Inc",1846,04/21/2020,07/29/2020,Group Health,No SubCov - AH,Unfair Claims Practice,Claim Procedure,Furnished Information,Furnished Information,0.00,Closed
"Oxford Health Plans (CT), Inc",3437,08/18/2020,08/26/2020,Group Health,MRI,Utilization Review,Medical Necessity,Coverage Granted,Furnished Information,0.00,Closed
American Family Connect Property and Casualty Insurance Company,91,01/08/2020,01/28/2020,Auto Liability,,Unfair Claims Practice,Denial of Claim,Refer-Judicial/Attorney,Unjustified,0.00,Closed
Progressive Casualty Insurance Company,905162,11/15/2019,12/13/2019,,,Unfair Claims Practice,Comparative Negligence,Refer-Judicial/Attorney,Unjustified,0.00,Closed
USAA General Indemnity Company,905506,12/11/2019,01/06/2020,Auto,,Underwriting,Non-Renewal,Non-Renewal Rescinded,Justified,5262.17,Closed
Homesite Insurance Company,5331,12/24/2020,01/06/2021,Homeowners,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,3154.20,Closed
"Anthem Health Plans, Inc",1193,03/16/2020,03/16/2020,Group Health,Prescription,Unfair Claims Practice,Claim Procedure,No Cause For Action,No Action Necessary,0.00,Closed
Great American Life Insurance Company,902554,06/07/2019,07/15/2019,Group Annuity,Fixed Annuity,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",4729,11/12/2020,11/27/2020,Exchange-Individual Hlth,Telehealth,Unfair Claims Practice,Claim Procedure,Furnished Information,Justified,74.00,Closed
Liberty Mutual Insurance Company,5008,12/01/2020,12/04/2020,Auto Physical Damage,,Unfair Claims Practice,Claim Delays,Complaint Withdrawn,No Action Necessary,0.00,Closed
"National Union Fire Insurance Company of Pittsburgh, PA",3447,08/18/2020,09/02/2020,General Liability,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
Trumbull Insurance Company,3488,08/20/2020,09/09/2020,Homeowners,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
American Commerce Insurance Company,902689,06/19/2019,07/26/2019,Homeowners,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
USAA General Indemnity Company,2466,06/05/2020,06/22/2020,,,Premium and Rating,Premium/Notice,Company Position Upheld,Unjustified,0.00,Closed
ACE American Insurance Company,905187,11/18/2019,12/11/2019,Group/Association Trust,Student Accident/Sickness,Unfair Claims Practice,CPT Code Issue,Claim Settled,Furnished Information,212.00,Closed
Standard Fire Insurance Company (The),902319,05/21/2019,11/07/2019,Auto Liability,,Unfair Claims Practice,Loss of Use,Claim Settled,Unjustified,0.00,Closed
SAFECO Insurance Company of Illinois,903265,07/23/2019,08/21/2019,Auto,,Underwriting,Cancellation,Company Position Upheld,Unjustified,0.00,Closed
